link,marketplace,name,brand,size,currentPrice,previousPrice,department,color,shippingCharge
https://www.ebay.com/itm/Size-10-adidas-Yeezy-Boost-350-V2-Clay-2019/254922625452?epid=20039806556&_trkparms=ispr%3D1&hash=item3b5a9291ac:g:gdgAAOSwbgNgMqoA&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkrDx%252B2NLp21dg6hHbHAkGMaI78HB%252FX060gd43YxQwRYhUeft1Nr3VE68JbcV6MY4k%252FRA%252F02%252BvDWIfeBzTWQyT04K9cy95e56s2Q1Op9IKd81dO0OfywBdUb9AS4mtnM3ToKhbk22dlz1uX%252Be%252FOsYu7jDL1P7ASrcoiJwKlpsXQsCIYNywHHSJyZA3wT8pX5%252FG%252FtufCTt%252FisRsiWsbr106MMRUkIaidwKd6szNCDjRbaxHz9bikSTLQCglWcWMSlifIt0pTgsi8JhGURlchHb4ysAISnVGm4aW0YRQK1an3T65SdGfmfv9yE5NOB%252F4KFJOAYywbCD%252Fh%252B5v1%252F%252B3NT2vBTZt7cJXNuFa8imZfrQQzsyNXUds%252BFduZyWjAgLC6uHE24sVnVxyUTZnWoFzlZlpOZMYELm8P3DDcAOOk1MXKenXwNmKdhBMikpbQhBzwIq7RK7bnUTEF3zxnfutUin1uP9YjpjzIescs5ywN2b%252Bn%252BC0lX2Jew4MJGRTBGxZwnMTcoSFquXOEzNSpzZwAxwFNJHrdKuVX6QQ9LINWNnVIS3HiMH8AZD8ta%252B1zadTtYGmYZRB5vXOMNou7eVEg53FSDlTGDU%252F10BkIOXk5N8JYHbRftfUs1lL8uAeCt1%252FZYj6pkW%252FilHZfcR95EpK186%252F0cwX%252FjmhA3nFexaNPRPRap6CdYsf2LmsVRfONNYoiJ0DjZ5oTlL6LeWf%252FdDdgbV%252B9ioy9K%252FU3V5jD5OfXyJnpzcvQCE%252FGZoPe6NC7E%252B3tedgEqFkjFlGvSkLnYP9majOEg%253D%253D%7Ccksum%3A254922625452bc2136cebea048d68c5e436ba0d5868f%7Campid%3APL_CLK%7Cclp%3A2334524,ebay,Size 10 - adidas Yeezy Boost 350 V2 Clay 2019,addidas,,$180.00,,Men,Clay,+$21.00 shipping
https://www.ebay.com/itm/Men-10US-Adidas-Superstar-35Th-Andy-Warhol-56711/174699169933?_trkparms=ispr%3D1&hash=item28ace1c88d:g:a4EAAOSw3JJgWMFH&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkSG%252BOFgrj2Yvbvmrj2TAdM7urxmejqxRjGYxCsl4EQ%252B8l8vDR8t392nPXlD8Eqp55ZuatwvkQdnqkZWX4YHxX2BcM%252BYaiNgtrWw1rxfTi73FMhAEhGz4BEeqG%252BvOIXcHzJVvI%252FZV5ke%252BDf42ETZDp57KYADbPMQgyWh8lCV%252BwhVBkbdM9dmedTiYfcH75AipNQl1oZymtJPaMLwDq%252FOAduT5sbiAi%252BJS8%252BdAOVfL6%252BOuLW%252BmSQcHICb0jHmkdW5lsAHo1TkdV%252B2m9xG0Kw8Sv1dycOfpLLD9hneB9hcFaCM17RYDCy3z0xaDeIYE2sVZa60H1gPY%252B%252BHQnO%252B46YuClmVRdwvOyj%252BnnRJWGgb8RDwNyN8B0b2%252FXTAO%252BAYMX6phuRsDsjTbmCJGU0B8BKWnU%252FyMa1g5wq8J5NE47z7ezrnvHcYeRimo1xH3%252B1fPKzg%252FCjUobAB4uEK1L4aGQI9f4nyZiiHJWT7Zjgr6gmKjiNTAIQTCSjyyD1gvApf01FMP2e%252BifwrR%252BcHECtM6I1qFzd9Gne7BeZEKqU3OjxN5xCF3ZTPcZ59ApDqNyObIVbFYDQkwF8tAFSj40VMDGuYernZsQhyOezHbQxioPMi%252FN7TYa7A7pqlVwb%252BKjCCyJxGfa3hNkI0YzEtmdg%252FeVA8eTj%252FSDO4Lt%252BUq9Ccidfu4%252BVpumo850nDQzG%252BwZHt1ug5iCMON7G4Y3fw6ug8Tw0RZVK6N0ImpcvQSdIduB5FWCRz5q57efl9BON74B4wNKvV4nP4%252FpqNrh3PEc8TGU4dm4pg%253D%253D%7Ccksum%3A174699169933bc2136cebea048d68c5e436ba0d5868f%7Campid%3APL_CLK%7Cclp%3A2334524,ebay,Men 10US Adidas Superstar 35Th Andy Warhol _56711,addidas,NA,$214.38,,NA,NA,Free International Shipping
https://www.ebay.com/itm/Men-9-5US-Alife-Adidas-Rare-Models-Aredo-Quattro-56512/174699169720?_trkparms=ispr%3D1&hash=item28ace1c7b8:g:EXUAAOSwAL9gWMFH&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkSG%252BOFgrj2Yvbvmrj2TAdM7nn4G05WnBDA%252FXrYU2wssBgWl8NG1o8eYmrUjZ8nNEmL9BvC7JTvTO3ZvqqG%252BWfSUZjX2HqTtM6FsWzuwz3YpgPS1S%252BEuppSRqL0ANxRNnR37W0YG2ND0cgkFPvFW1VmsKsPYYfLO%252Bjc654dx9igwep8PnXud9QBHOyegH56CkNSGkH%252F6UqkNVK2hb6c%252B9iIIndzRE2BSJVoJ8ag3MIjCCkaXXKxs6JWlVWdnfE29wshFDwj6dRnFx0AEEwYkumvWhtfPyNZZ4SSiWe2DTDY6uvjeO4LI6VwSR6Y9%252BegjZXeAvhem6hK8V29BOfzJ4r1GW%252F91I17DS%252BiqsowdNJhfF8sGCGg8ss5OeVHjc5s9nHY464Nhh7QGlcRfNqaSrrNlV2eDyTptMZJDdLssc6sVTNvDHVsmDCZJSqTM%252BKe%252F%252Bni3HK5ddRQtrFol8O%252B1QGLYfwnEJKhCHBmlY8miCj6bfwhUMh0NheUt0JGFFhZYnHyxZ2A1n8AjcjnMjxDzc9Ysg7inLsDv7SHi%252BK5rUTY0dbv2ZEaMqNmGVGFlIJ0O9pgLthwEcWJBqQALWQHKDFw5bzWv3vc3RY323D0dJO67ie%252Bnz4vKIJI%252BChl7RJrrxL7kvqHBEduiTLVyI27eBxvB%252BXHJ7LuAMJstEwPsC7rpL%252BzQVUxM0QG2TeUAlNkhhzeR%252BcjfiznBDY3rzD4qrYZk%252BOpSicjSa22C1sOKLGr%252BDqeLEr3se8CkTzy0Lbtv9t1YgNkg6dq9If34xcAs372g%253D%253D%7Ccksum%3A174699169720bc2136cebea048d68c5e436ba0d5868f%7Campid%3APL_CLK%7Cclp%3A2334524,ebay,Men 9.5US Alife Adidas Rare Models Aredo Quattro _56512,addidas,NA,$212.78,,NA,NA,Free International Shipping
https://www.ebay.com/itm/MENS-SIZE-8-ADIDAS-SHOES-I-5923-COMFORT-LIFE-SNEAKERS-GIFT-ORIGINALS-D96605-SZ/154396065946?epid=15039798139&_trkparms=ispr%3D1&hash=item23f2b9009a:g:ZaQAAOSwSK5fvwqR&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkxGz2ccqatkEnoeekHqhLkSRkMlF9SXPlqtxfFhd0pWIemQux%252BVcg%252FNzenHDiC08FVeumFW6ZM5sOqVE6W6L0H5DbFn8wl0Jt75l7fnH2fl2inahIEV9eVPbnGlIRLbHn6gz5SmUif1YdRMx2wyHLC%252FUBA4Gfu1mFhHMjnLZZezDuZw65JTwDdeNlysBqkta3k4WMKta%252Ff8UD93ZtwD2W2zi7QzO46aDhmEMHT0Ia0x3uymQpg449XzPp8KvhqSCR%252FPVLumePMMLbN4ERbFv%252BSzBGv7B%252BBci90qaHIpgZIokckkMqCRazSVYmu%252FjdCYk%252Bl9phuvuzqV38cz26epJlKrBgvYQ1eQlxMqcPZwVd3lYq1MvqTqeWrXNkbDw1vBwWb%252FbYCyV7cGGPpX3ibryTDmJJOA%252FuT%252B8kdTfU01qstwcXfhEo5AfhAiLhWCmt9Q5teb0m%252Fv4FL0zYm2uU9f15E4XrRTaaV0YYGiKmPlF0sMS%252B%252BFsd0rAZR5QMYtuMMuaPdQ981eFtigFD6NpGBDY9MBKhv%252FoAGsnUL9Rx20tGGFu5WyW8%252B8fRVtF%252BOEAY2opiSOERYkE642LWc4ayqtOTvlnnA5D01Xt1CH0sOae0r9WIqs3oKtexFFMvM9udWY858NEdDBRxH%252FwD%252FSaqwFUysqf3yqtenW2i%252BpjNWXSk3zZQnbwwUsX98NTXhJuQKDIe2487urfruXdhWgFT90cvG46aKE6G19b9OqObuaWStC4hOdopABayo%252BCkjORJt49%252F9VUh2w0ilW5k3Ps0kXnehA%253D%253D%7Ccksum%3A154396065946bc2136cebea048d68c5e436ba0d5868f%7Campid%3APL_CLK%7Cclp%3A2334524,ebay,MENS SIZE 8 ADIDAS SHOES I-5923 COMFORT LIFE SNEAKERS GIFT ORIGINALS D96605 SZ,addidas,AU 8,$54.85,,Men,Blue,+$41.50 shipping
https://www.ebay.com/itm/adidas-Terrex-Voyager-21-Shoes-in-Green-and-Black/154396095424?hash=item23f2b973c0:g:gHEAAOSwkKhgY5YH,ebay,adidas Terrex Voyager 21 Shoes in Green and Black,addidas,Standard,$123.92,,Men,Green/Black/Brown,+$20.64 shipping
https://www.ebay.com/itm/adidas-Originals-ZX-750-Grey/133682830911?_trkparms=ispr%3D1&hash=item1f201e1e3f:g:jDQAAOSwVQhgQRIn&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkBUIiHwYv5YgVss0WaiENz16g%252BkO%252B%252BGvWYXQohrXgHk31cpE7%252BE2QHgzaUgOvh5P5oo4gHqZOjgtKVNWYjlTQWBp9RWxNjS3McBBt5HJFFwwpkBRTwkO1YmyOi0vQ4N9AUiF54lHLtcRVhEbXjGbhVtVMZ0uxdyZGF937%252FKoT9ZF%252BMDTTkK%252B%252BtNsDW2eGQEbY5CpAjPNiHwxj4kuJ8Ao8bGOat0XtZOBRmzDlEiEQ%252Fg0l3gQBnvt47Oox491Lp%252BYT8AubSb2%252B%252FObJpLHEDbavbusyb3hePhcpVD4m5%252B3xGBXqafPQ%252BNnHrWmRN5ZYEIVVJkaHTXwtazw81mlIaWdB7DrNCVurgz7KxLYRCN1%252FvSghZlOjyicHP4G%252BKAOk5qOUM9k6Wdw4Sbm6Eg4wiUuzSwMLRvaSZDdQbjjoxTMASOdSJY4Nfw4R0zkHPHajXIh9zMw%252B%252B4n8oQVtezC6DwyXwPnTy7kdVnLYAedg7ilZFJ%252Fl%252BV4qnLCcO%252BNkz6oTj%252FJwk3eKDLviCA16Mb%252FI49NOLppRJsbFC5AGVhkFLDRDXXAGlydcz3lsxmbnnC8dljqrFx9yWxR3wmlk1nnldYkTYNP%252FNgazVS17jNarn%252BPxR8cuh499o8JWar5tM%252FJ02B23TY9LXyK8BQ%252BkZYw%252FBRED9y7siCuAM0QtqbbIl2hG3J6iAnYKQBSqk05t1Lw4h7BDogn0wdyJ5i8Rl5CbZyBXys5C2dSKo8rUWm3bdDtHPkrCYY%252FuMoLTmfxf0t39tykJSsLeH6Ran6vgHA17ZxLAbQ%253D%253D%7Ccksum%3A133682830911bc2136cebea048d68c5e436ba0d5868f%7Campid%3APL_CLK%7Cclp%3A2334524,ebay,adidas Originals ZX 750 Grey,addidas,,$150.08,,Men,Grey,+$31.66 shipping
https://www.ebay.com/itm/Mens-Adidas-Zx-8000-Trainers-Size-10-5/294093438812?hash=item447955bf5c:g:R80AAOSwr15f6dDJ,ebay,Mens Adidas Zx 8000 Trainers Size 10.5,addidas,UK 10.5,$220.33,,Men,Blue,+$27.54 shipping
https://www.ebay.com/itm/adidas-Originals-Atlantic-MK-2-Shoes-in-White-and-Navy/154396051611?hash=item23f2b8c89b:g:OSkAAOSw98BgY4sU,ebay,adidas Originals Atlantic MK 2 Shoes in White and Navy,addidas,Standard,$110.15,,Men,White/Navy,+$20.64 shipping
https://www.ebay.com/itm/adidas-Originals-Atlantic-MK-2-Shoes-in-Blue-and-Grey/154396134861?hash=item23f2ba0dcd:g:sEIAAOSwfd5gY41I,ebay,adidas Originals Atlantic MK 2 Shoes in Blue and Grey,addidas,Standard,$150.71,,Men,Grey/Blue,Free International Shipping
https://www.ebay.com/itm/adidas-Originals-Atlantic-MK-2-Shoes-in-White-and-Navy/154396134891?hash=item23f2ba0deb:g:OSkAAOSw98BgY4sU,ebay,adidas Originals Atlantic MK 2 Shoes in White and Navy,addidas,Standard,$150.71,,Men,White/Navy,Free International Shipping
